"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0003018","vascular process in circulatory system","36/655","283/18860",0.127208480565371,3.66282739459984,8.56116923311063,1.73624729079493e-11,7.95516940509679e-09,5.60251278905313e-09,"CD36/EDNRB/CDH5/AGER/NPR1/TEK/PECAM1/AGTR1/RAMP2/CLDN5/CAV1/SLIT2/SVEP1/LEPR/KLF2/DOCK4/ANGPT1/ADRB2/HBB/FERMT2/ABCC3/SLC1A1/SLC6A4/SLC2A1/KAT2B/AGTR2/FABP5/ZEB2/SLC15A2/SLC7A5/F2RL1/CEACAM1/EDN1/COMP/GCLC/EDNRA",36
"GO:0006959","humoral immune response","37/655","307/18860",0.120521172638436,3.47027376482582,8.27735992576957,4.48827433735722e-11,1.82420351545509e-08,1.28471475649845e-08,"FCN3/CFD/GATA6/GAPDH/A2M/CCL14/PLA2G1B/HLA-E/TNFRSF21/PGC/VSIG4/CLU/SERPING1/C7/GPI/ALOX5/SLPI/CXCL13/CXCL3/CXCL12/C4BPA/WFDC2/IGHA1/IGHD/IGHG1/IGHG3/IGHM/CXCL2/CFB/IGHA2/CD55/POU2AF1/C1QB/DMBT1/MMP7/CXCL14/IL6",37
"GO:0050673","epithelial cell proliferation","49/655","496/18860",0.0987903225806452,2.8445579906427,7.89649106465942,4.70528684541987e-11,1.82420351545509e-08,1.28471475649845e-08,"EDNRB/TEK/AGTR1/TGFBR3/CAV1/JCAD/MMRN2/TIE1/LIMS2/CLDN18/RGCC/TBX2/SEMA5A/NME1/CAV2/CD34/ENG/HOXA5/GATA2/GATA6/SULF1/DACH1/MDK/GPC3/HLX/AKT3/FAP/MMP12/FGFR2/KLF9/IGFBP3/CDH3/CDKN1C/PTCH1/C5AR1/EFNB2/LGR4/ZEB2/ALOX5/COL4A3/ZFP36/PTN/CEACAM1/CXCL12/SFN/NR4A1/NR4A3/CDKN2A/IL6",49
"GO:0001503","ossification","46/655","455/18860",0.101098901098901,2.91103095377905,7.82690653309748,8.71304400808429e-11,3.13669584291035e-08,2.20905145829024e-08,"CLEC3B/SPP1/S1PR1/GPM6B/CAT/TMT1A/PTPRB/CHRDL1/KL/ADRB2/ZBTB16/MDK/ID4/GREM1/SMAD6/GDF10/FERMT2/CRIM1/GPC3/FGR/H3-3B/FGFR2/COL1A1/FHL2/IGFBP3/COL13A1/TFAP2A/PTCH1/COL1A2/LGR4/ID3/WWTR1/ALOX5/BMP2/CEBPD/PTN/VCAN/ID1/COMP/GABBR1/ADGRG6/TNC/CCN2/CYP24A1/IL6/IGFBP2",46
"GO:0043542","endothelial cell migration","36/655","302/18860",0.119205298013245,3.43238461149588,8.08266859185259,1.12729713593006e-10,3.78771837672499e-08,2.66754101217975e-08,"CDH5/TEK/PECAM1/STARD13/TGFBR3/SASH1/JCAD/SLIT2/MMRN2/RGCC/SEMA5A/EMP2/GATA2/ANGPT1/KLF4/GREM1/PLPP3/RRAS/AKT3/FAP/AGTR2/EFNB2/ZEB2/GPI/DCN/PTN/CXCL13/CEACAM1/ANXA3/EDN1/SRPX2/ID1/NR4A1/S100P/S100A2/LCN2",36
"GO:0007160","cell-matrix adhesion","32/655","246/18860",0.130081300813008,3.74554707379135,8.22169253810275,1.31056304587445e-10,4.12827359450452e-08,2.90738065176884e-08,"FAM107A/CD36/TEK/PECAM1/TNXB/GPM6B/ARHGAP6/SVEP1/EMP2/LYVE1/MACF1/CD34/FBLN5/DLC1/LIMCH1/GREM1/PLPP3/FERMT2/PIK3R1/SORBS1/RRAS/MMP12/ITGA8/COL13A1/COL3A1/PLAU/ECM2/SLK/POSTN/CDKN2A/CCN2/MUC4",32
"GO:0003014","renal system process","24/655","143/18860",0.167832167832168,4.83254150429723,8.72612447793707,1.43359164257334e-10,4.2501775756292e-08,2.99323282895189e-08,"EDNRB/NPR1/AGTR1/EMP2/CD34/WFS1/SULF1/HBB/GAS6/AQP4/HYAL2/STK39/NPR3/CLDN4/AGTR2/AQP1/SLC15A2/F2RL1/ADGRF5/MCAM/EDN1/IGHA1/EDNRA/IGHA2",24
"GO:0003094","glomerular filtration","12/655","31/18860",0.387096774193548,11.1460231470081,10.7237753283772,2.1469290487711e-10,5.78553588494835e-08,4.07452527235711e-08,"EMP2/CD34/SULF1/GAS6/AQP1/F2RL1/ADGRF5/MCAM/EDN1/IGHA1/EDNRA/IGHA2",12
"GO:0003206","cardiac chamber morphogenesis","23/655","134/18860",0.171641791044776,4.94223538794577,8.68674514876686,2.18105519472259e-10,5.78553588494835e-08,4.07452527235711e-08,"TEK/FOXF1/TGFBR3/SLIT2/TBX2/TNNC1/HEG1/ENG/GATA6/TBX3/TGFBR2/SMAD6/COL11A1/SOX4/FGFR2/FHL2/ADAMTS1/HEY1/RBP4/BMP2/DSP/EDNRA/ADGRG6",23
"GO:0048844","artery morphogenesis","18/655","83/18860",0.216867469879518,6.24445875103467,9.08262232357779,3.8878387843644e-10,9.79735373659829e-08,6.89989072677724e-08,"FOXF1/TBX2/ENG/TGFBR2/MDK/SOX4/AKT3/LDLR/MYLK/COL3A1/EFNB2/HEY1/ADGRF5/EDN1/COMP/FOLR1/HPGD/EDNRA",18
"GO:0032835","glomerulus development","17/655","74/18860",0.22972972972973,6.61481328656901,9.17949222679073,4.58811788488701e-10,1.10114829237288e-07,7.75495413926768e-08,"EDNRB/TEK/TCF21/PECAM1/CD34/ANGPT1/SULF1/PODXL/AGTR2/LGR4/AQP1/CD24/WWTR1/COL4A3/EDN1/EDNRA/EGR1",17
"GO:0006956","complement activation","16/655","65/18860",0.246153846153846,7.08772753963594,9.32556941188333,4.96951550901493e-10,1.1384708257016e-07,8.01780205569299e-08,"FCN3/CFD/A2M/VSIG4/CLU/SERPING1/C7/C4BPA/IGHA1/IGHD/IGHG1/IGHG3/CFB/IGHA2/CD55/C1QB",16
"GO:0001894","tissue homeostasis","33/655","275/18860",0.12,3.45526717557252,7.77980050410344,5.7152405860318e-10,1.20020052306668e-07,8.45254002460492e-08,"CDH5/JAM2/SPP1/PECAM1/LDB2/CLDN5/S1PR1/CLDN18/CD34/GATA2/ANGPT1/ADRB2/SLC39A8/INAVA/AKT3/PDK4/SLC1A1/CDH3/STK39/COL3A1/SLC2A1/CLDN3/ZEB2/ALDH1A1/WWTR1/RBP4/ACP5/PERP/DMD/COMP/CCN2/MUC4/IL6",33
"GO:0060249","anatomical structure homeostasis","33/655","275/18860",0.12,3.45526717557252,7.77980050410344,5.7152405860318e-10,1.20020052306668e-07,8.45254002460492e-08,"CDH5/JAM2/SPP1/PECAM1/LDB2/CLDN5/S1PR1/CLDN18/CD34/GATA2/ANGPT1/ADRB2/SLC39A8/INAVA/AKT3/PDK4/SLC1A1/CDH3/STK39/COL3A1/SLC2A1/CLDN3/ZEB2/ALDH1A1/WWTR1/RBP4/ACP5/PERP/DMD/COMP/CCN2/MUC4/IL6",33
"GO:0000302","response to reactive oxygen species","28/655","205/18860",0.136585365853659,3.93282442748092,8.008478377221,6.12154562010313e-10,1.23410359701279e-07,8.69130603410011e-08,"CD36/CAT/CRYAB/SESN1/KLF2/FBLN5/KLF4/HBB/HBA1/HBA2/HYAL1/HYAL2/ECT2/COL1A1/CDK1/NET1/AQP1/EDN1/DUSP1/NQO1/EZH2/SCGB1A1/GPR37/NR4A3/CDKN2A/FOS/IL6/LCN2",28
"GO:1903034","regulation of response to wounding","26/655","179/18860",0.145251396648045,4.18235319203378,8.11445716179454,6.53249067632736e-10,1.26629819264192e-07,8.91803990306715e-08,"CD36/SPP1/DUOX1/CAV1/THBD/ANGPT1/KLF4/CPB2/MDK/WFDC1/FERMT2/IL33/FAP/HBEGF/SERPING1/MYLK/CLDN4/DSG2/CLDN3/PLAU/ALOX5/PTN/F2RL1/PROS1/CEACAM1/EDN1",26
"GO:0097205","renal filtration","12/655","34/18860",0.352941176470588,10.1625505163898,10.1428838451816,7.58104283540273e-10,1.41512799594184e-07,9.96618964560547e-08,"EMP2/CD34/SULF1/GAS6/AQP1/F2RL1/ADGRF5/MCAM/EDN1/IGHA1/EDNRA/IGHA2",12
"GO:1904018","positive regulation of vasculature development","27/655","195/18860",0.138461538461538,3.98684674104521,7.95244888147266,9.12254076767603e-10,1.614246839465e-07,1.13685053105179e-07,"CD36/CDH5/TEK/RAMP2/SASH1/JCAD/TIE1/SEMA5A/EMP2/CD34/ENG/GATA2/GATA6/KLF4/TGFBR2/MDK/GREM1/CLIC3/HYAL1/RRAS/AKT3/DSG2/C5AR1/AQP1/ANXA3/CXCL12/CHI3L1",27
"GO:0070482","response to oxygen levels","38/655","357/18860",0.106442577030812,3.06489618748263,7.47129517284914,9.28832506835017e-10,1.614246839465e-07,1.13685053105179e-07,"AGER/VEGFD/TGFBR3/KCNK3/EPAS1/CAV1/CAT/RGCC/CRYAB/ENG/GATA6/ENO1/PLOD2/FGFR2/CCNB1/SLC1A1/COL1A1/SLC6A4/NDNF/SLC2A1/CLDN3/ZEB2/AQP1/CD24/PLAU/AK4/BMP2/PGK1/SLC7A5/CXCL12/EDN1/POSTN/PMAIP1/EDNRA/EGR1/NR4A2/FOS/LCN2",38
"GO:0036293","response to decreased oxygen levels","36/655","330/18860",0.109090909090909,3.1411519777932,7.44305782906082,1.32991419887528e-09,2.23425585411048e-07,1.57349848372191e-07,"AGER/VEGFD/TGFBR3/KCNK3/EPAS1/CAV1/CAT/RGCC/CRYAB/ENG/GATA6/ENO1/PLOD2/FGFR2/CCNB1/SLC1A1/SLC6A4/NDNF/SLC2A1/CLDN3/ZEB2/AQP1/CD24/PLAU/AK4/BMP2/PGK1/CXCL12/EDN1/POSTN/PMAIP1/EDNRA/EGR1/NR4A2/FOS/LCN2",36
"GO:0010810","regulation of cell-substrate adhesion","29/655","230/18860",0.126086956521739,3.63053435114504,7.61353075880655,2.02317187930421e-09,3.28928589409459e-07,2.31651462716937e-07,"FAM107A/CD36/TEK/FOXF1/SPOCK2/GPM6B/ARHGAP6/LIMS2/EMP2/MACF1/DLC1/LIMCH1/MDK/GREM1/PLPP3/FERMT2/FBLN1/PIK3R1/RRAS/MMP12/COL1A1/NDNF/NEDD9/PLAU/ECM2/SLK/POSTN/CDKN2A/AGR2",29
"GO:0002040","sprouting angiogenesis","27/655","203/18860",0.133004926108374,3.82972962809762,7.68876688589694,2.24853291207155e-09,3.44805258169281e-07,2.42832775803428e-07,"CDH5/TEK/STARD13/AGTR1/VEGFD/RAMP2/TGFBR3/JCAD/SLIT2/MMRN2/SEMA5A/KLF2/GATA2/ANGPT1/KLF4/GREM1/RECK/CLIC3/AKT3/SEMA6A/DSG2/EFNB2/ALOX5/CEACAM1/SRPX2/NR4A1/ADGRG6",27
"GO:0042542","response to hydrogen peroxide","19/655","103/18860",0.184466019417476,5.31149484918106,8.32241624799422,2.32285136269401e-09,3.44805258169281e-07,2.42832775803428e-07,"CAT/CRYAB/KLF2/KLF4/HBB/HBA1/HBA2/ECT2/COL1A1/CDK1/NET1/AQP1/EDN1/DUSP1/EZH2/NR4A3/CDKN2A/IL6/LCN2",19
"GO:0006979","response to oxidative stress","41/655","418/18860",0.0980861244019139,2.82428138354213,7.15419209242982,2.32606721780864e-09,3.44805258169281e-07,2.42832775803428e-07,"CD36/DUOX1/EPAS1/CAT/CRYAB/GPX3/SESN1/KLF2/FBLN5/KLF4/HBB/HBA1/HBA2/HYAL1/PRDX4/ATP2A2/HYAL2/ECT2/SLC1A1/COL1A1/RCAN1/CDK1/NET1/KAT2B/AQP1/ALOX5/EDN1/DUSP1/NQO1/EZH2/SCGB1A1/GPR37/NR4A3/CDKN2A/SLC7A11/GCLC/EDNRA/NR4A2/FOS/IL6/LCN2",41
"GO:0072073","kidney epithelium development","23/655","151/18860",0.152317880794702,4.38582478135585,7.92341319005334,2.47938807720877e-09,3.4819363677311e-07,2.45219077526927e-07,"EDNRB/TCF21/PECAM1/SLIT2/CAT/CD34/KANK2/GREM1/SMAD6/GPC3/PODXL/FGFR2/EPCAM/PTCH1/AGTR2/EFNB2/LGR4/AQP1/CD24/WWTR1/BMP2/EDN1/EDNRA",23
"GO:0001570","vasculogenesis","17/655","82/18860",0.207317073170732,5.96946564885496,8.55414465958198,2.50060978029155e-09,3.4819363677311e-07,2.45219077526927e-07,"FOXF1/RAMP2/RASIP1/TGFBR3/CAV1/TIE1/HEG1/EMP2/TMEM100/CD34/ENG/QKI/TGFBR2/RRAS/HEY1/NTRK2/CEACAM1",17
"GO:0060537","muscle tissue development","43/655","453/18860",0.0949227373068433,2.73319515359857,7.08255082020392,2.5561834445645e-09,3.4819363677311e-07,2.45219077526927e-07,"TCF21/TGFBR3/CAV1/S1PR1/TBX2/TNNC1/HEG1/CAV2/ENG/GATA6/TBX3/MYH11/GREM1/MEIS1/MYH10/COL11A1/HLF/HLX/FGFR2/CCNB1/NEBL/CENPF/FHL2/ITGA8/RCAN1/MYLK/COL3A1/CDK1/DSG2/PTCH1/EFNB2/HEY1/RBP4/BMP2/EDN1/DMD/DSP/NR4A1/MAFF/EDNRA/ATF3/EGR1/FOS",43
"GO:0045766","positive regulation of angiogenesis","26/655","191/18860",0.136125654450262,3.91958754646097,7.69240775248494,2.70503031310912e-09,3.58772441528157e-07,2.52669313457173e-07,"CD36/CDH5/TEK/RAMP2/SASH1/JCAD/TIE1/SEMA5A/EMP2/CD34/ENG/GATA2/GATA6/KLF4/TGFBR2/MDK/GREM1/CLIC3/HYAL1/RRAS/AKT3/DSG2/C5AR1/AQP1/ANXA3/CHI3L1",26
"GO:0003007","heart morphogenesis","32/655","278/18860",0.115107913669065,3.31440496457796,7.37394953223164,2.96594416069698e-09,3.83291245382379e-07,2.69936942236713e-07,"TEK/FOXF1/TGFBR3/CLDN5/S1PR1/SLIT2/TBX2/TNNC1/HEG1/EMP2/TMEM100/ENG/DLC1/GATA6/TBX3/TGFBR2/SMAD6/COL11A1/SOX4/FGFR2/FHL2/ADAMTS1/PTCH1/HEY1/RBP4/BMP2/EDN1/DSP/COL5A1/FOLR1/EDNRA/ADGRG6",32
"GO:0033002","muscle cell proliferation","30/655","252/18860",0.119047619047619,3.42784442021083,7.35962885343306,4.21041174144963e-09,5.30511879422654e-07,3.73618641899162e-07,"NPR1/TGFBR3/S1PR1/RGCC/TBX2/CAV2/GATA6/ANGPT1/KLF4/MYH10/PIK3R1/CALCRL/HBEGF/FGFR2/CCNB1/ADAMTS1/IGFBP3/CDK1/CNN1/OGN/RBP4/MMP9/BMP2/RGS5/EDN1/NDC80/NR4A3/HPGD/FOS/IL6",30
"GO:0007088","regulation of mitotic nuclear division","20/655","119/18860",0.168067226890756,4.83930976970941,7.96920305908201,4.79422178140267e-09,5.75306613768321e-07,4.05165810698993e-07,"CAV2/RCC1/ZWINT/CDC20/CCNB1/NUSAP1/CENPF/MAD2L1/NEK2/BIRC5/BUB1B/UBE2C/DLGAP5/AURKA/BUB1/TTK/EDN1/DUSP1/NDC80/TRIP13",20
"GO:0060840","artery development","20/655","119/18860",0.168067226890756,4.83930976970941,7.96920305908201,4.79422178140267e-09,5.75306613768321e-07,4.05165810698993e-07,"FOXF1/TBX2/ENG/TGFBR2/MDK/SMAD6/MYH10/SOX4/AKT3/LDLR/MYLK/COL3A1/EFNB2/HEY1/ADGRF5/EDN1/COMP/FOLR1/HPGD/EDNRA",20
"GO:0001666","response to hypoxia","34/655","317/18860",0.107255520504732,3.08830399499121,7.11242975008066,5.93380627549858e-09,6.95497293686346e-07,4.89811377257802e-07,"AGER/VEGFD/TGFBR3/KCNK3/EPAS1/CAV1/CAT/RGCC/CRYAB/ENG/GATA6/ENO1/PLOD2/FGFR2/CCNB1/SLC6A4/NDNF/SLC2A1/CLDN3/AQP1/CD24/PLAU/AK4/BMP2/PGK1/CXCL12/EDN1/POSTN/PMAIP1/EDNRA/EGR1/NR4A2/FOS/LCN2",34
"GO:0033047","regulation of mitotic sister chromatid segregation","14/655","57/18860",0.245614035087719,7.07218427748761,8.7087021316951,6.25502360019999e-09,7.16484521477454e-07,5.04591855977856e-07,"ZWINT/CDC20/CCNB1/CENPF/CDK1/MAD2L1/KAT2B/BIRC5/BUB1B/BUB1/TTK/DUSP1/NDC80/TRIP13",14
"GO:0050678","regulation of epithelial cell proliferation","40/655","416/18860",0.0961538461538462,2.76864357017029,6.9190117275544,6.46352507943546e-09,7.23914808896771e-07,5.09824715037576e-07,"EDNRB/TEK/AGTR1/TGFBR3/CAV1/JCAD/MMRN2/TIE1/LIMS2/RGCC/SEMA5A/NME1/CAV2/ENG/HOXA5/GATA2/GATA6/SULF1/MDK/GPC3/HLX/AKT3/MMP12/FGFR2/KLF9/CDH3/CDKN1C/PTCH1/C5AR1/EFNB2/ALOX5/COL4A3/ZFP36/PTN/CEACAM1/CXCL12/SFN/NR4A1/NR4A3/CDKN2A",40
"GO:0006935","chemotaxis","43/655","474/18860",0.0907172995780591,2.61210422907205,6.7425363866767,9.9235441108742e-09,1.08727526780013e-06,7.65725188601094e-07,"EDNRB/AGER/AGTR1/VEGFD/S1PR1/SLIT2/SEMA5A/MIF/ENG/DOCK4/ANGPT1/ANOS1/MDK/SEMA3G/GREM1/GAS6/SFTPD/TPBG/CCL14/PLA2G1B/HBEGF/SEMA6A/STK39/C5AR1/NEDD9/EFNB2/PLAU/ALOX5/FLRT3/PTN/F2RL1/CXCL13/CXCL3/CXCL12/EDN1/S100A4/PERP/DUSP1/NR4A1/CX3CR1/CXCL2/CXCL14/IL6",43
"GO:0003205","cardiac chamber development","24/655","176/18860",0.136363636363636,3.9264399722415,7.39853382057182,1.06608015994543e-08,1.14320085236702e-06,8.05111377230906e-07,"TEK/FOXF1/TGFBR3/SLIT2/TBX2/TNNC1/HEG1/ENG/GATA6/TBX3/TGFBR2/SMAD6/MYH10/COL11A1/SOX4/FGFR2/FHL2/ADAMTS1/HEY1/RBP4/BMP2/DSP/EDNRA/ADGRG6",24
"GO:0048762","mesenchymal cell differentiation","31/655","278/18860",0.111510791366906,3.21082980943489,7.04394766198536,1.11984190521094e-08,1.15568529248096e-06,8.13903677160776e-07,"EDNRB/TCF21/TGFBR3/TNXB/RGCC/SEMA5A/EMP2/TMEM100/ENG/QKI/TBX3/TGFBR2/MDK/SEMA3G/GREM1/FERMT2/FGFR2/COL1A1/FOXF2/SEMA6A/DSG2/ZEB2/HEY1/WWTR1/BMP2/EDN1/S100A4/EZH2/FOLR1/EDNRA/IL6",31
"GO:0042330","taxis","43/655","476/18860",0.0903361344537815,2.60112900121881,6.71111117423996,1.12358292324538e-08,1.15568529248096e-06,8.13903677160776e-07,"EDNRB/AGER/AGTR1/VEGFD/S1PR1/SLIT2/SEMA5A/MIF/ENG/DOCK4/ANGPT1/ANOS1/MDK/SEMA3G/GREM1/GAS6/SFTPD/TPBG/CCL14/PLA2G1B/HBEGF/SEMA6A/STK39/C5AR1/NEDD9/EFNB2/PLAU/ALOX5/FLRT3/PTN/F2RL1/CXCL13/CXCL3/CXCL12/EDN1/S100A4/PERP/DUSP1/NR4A1/CX3CR1/CXCL2/CXCL14/IL6",43
"GO:0007599","hemostasis","29/655","250/18860",0.116,3.34009160305344,7.06503495030911,1.3769800272023e-08,1.38799586741992e-06,9.77510874047612e-07,"CD36/VWF/CAV1/SVEP1/THBD/ANGPT1/CPB2/HBB/GAS6/FBLN1/FLI1/FAP/SERPING1/SLC6A4/MYL9/F8/COL3A1/GPI/PLAU/ANXA8/F2RL1/PROS1/CEACAM1/EDN1/COMP/SLC7A11/PLA2G4A/IL6/TFPI2",29
"GO:0010965","regulation of mitotic sister chromatid separation","14/655","61/18860",0.229508196721311,6.6084344887999,8.32192569048022,1.60955706917149e-08,1.55890390602864e-06,1.09787468068684e-06,"ZWINT/CDC20/CCNB1/CENPF/MAD2L1/BIRC5/BUB1B/UBE2C/DLGAP5/BUB1/TTK/DUSP1/NDC80/TRIP13",14
"GO:0072593","reactive oxygen species metabolic process","28/655","237/18860",0.118143459915612,3.40181015879151,7.05785395392247,1.63908221138743e-08,1.55890390602864e-06,1.09787468068684e-06,"CD36/DUOX1/AGTR1/CAT/CRYAB/GPX3/SESN1/FBLN5/PID1/TGFBR2/HBB/HBA1/HBA2/SFTPD/PRDX4/INAVA/PDK4/SLC1A1/TFAP2A/ALOX5/ACP5/F2RL1/EDN1/PMAIP1/NQO1/TYROBP/CCN2/LCN2",28
